Car reached at: 67, Time: Mon Nov 27 07:12:27 CST 2006, sensor: 
Car reached at: 113, Time: Mon Nov 27 08:16:07 CST 2006, sensor: 31
Car reached at: 97, Time: Mon Nov 27 08:16:10 CST 2006, sensor: 26
Car reached at: 131, Time: Mon Nov 27 08:17:48 CST 2006, sensor: 
Car reached at: 112, Time: Mon Nov 27 08:18:40 CST 2006, sensor: 
Car reached at: 89, Time: Mon Nov 27 08:19:35 CST 2006, sensor: 21
Car reached at: 128, Time: Mon Nov 27 08:21:09 CST 2006, sensor: 
Car reached at: 92, Time: Mon Nov 27 08:22:28 CST 2006, sensor: 35
Car reached at: 105, Time: Mon Nov 27 08:23:02 CST 2006, sensor: 
Car reached at: 104, Time: Mon Nov 27 08:25:18 CST 2006, sensor: 
Car reached at: 127, Time: Mon Nov 27 08:26:54 CST 2006, sensor: 
Car reached at: 108, Time: Mon Nov 27 08:27:49 CST 2006, sensor: 
Car reached at: 88, Time: Mon Nov 27 08:28:25 CST 2006, sensor: 
Car reached at: 90, Time: Mon Nov 27 08:28:31 CST 2006, sensor: 
Car reached at: 109, Time: Mon Nov 27 08:28:55 CST 2006, sensor: 
Car reached at: 126, Time: Mon Nov 27 08:29:45 CST 2006, sensor: 
Car reached at: 114, Time: Mon Nov 27 08:29:53 CST 2006, sensor: 
Car reached at: 87, Time: Mon Nov 27 08:30:14 CST 2006, sensor: 
Undo: Car reached at: 87, Time: Mon Nov 27 08:30:14 CST 2006, sensor: 
Car reached at: 93, Time: Mon Nov 27 08:30:50 CST 2006, sensor: 
Car reached at: 125, Time: Mon Nov 27 08:31:43 CST 2006, sensor: 
Car reached at: 124, Time: Mon Nov 27 08:31:51 CST 2006, sensor: 
Car reached at: 121, Time: Mon Nov 27 08:31:59 CST 2006, sensor: 
Car reached at: 111, Time: Mon Nov 27 08:32:57 CST 2006, sensor: 
Car reached at: 122, Time: Mon Nov 27 08:34:29 CST 2006, sensor: 
Car reached at: 123, Time: Mon Nov 27 08:38:02 CST 2006, sensor: 
Car reached at: 86, Time: Mon Nov 27 08:38:36 CST 2006, sensor: 4
Car reached at: 85, Time: Mon Nov 27 08:40:29 CST 2006, sensor: 
Car reached at: 120, Time: Mon Nov 27 08:42:23 CST 2006, sensor: 
Car reached at: 87, Time: Mon Nov 27 08:44:02 CST 2006, sensor: 
Car reached at: 84, Time: Mon Nov 27 08:44:02 CST 2006, sensor: 
Car reached at: 83, Time: Mon Nov 27 08:45:20 CST 2006, sensor: 15
Car reached at: 119, Time: Mon Nov 27 08:47:19 CST 2006, sensor: 
